questionnaire_id;survey_id;respondent_id;date_of_response;question_id;orig_answer;category;topic;sentiment;intention;question_description;confidence_level
employee-survey-demo;survey-001;resp-001;2025-08-21;pergunta1;Sim;Conhecimento;Fatura Digital;Positivo;Conhece o serviço;Você conhece o nosso serviço de recebimento da fatura por e-mail (fatura digital)?;0.95
employee-survey-demo;survey-001;resp-001;2025-08-21;pergunta2;Não sei usar;Barreira Técnica;Dificuldade de Uso;Negativo;Falta de conhecimento técnico;Qual o principal motivo para você preferir receber sua fatura impressa em papel e não por e-mail?;0.88
employee-survey-demo;survey-001;resp-001;2025-08-21;pergunta3;Sou analógico;Preferência Pessoal;Hábito Analógico;Neutro;Preferência por físico;Quais os motivos que te impedem de mudar para o recebimento da fatura digital por e-mail?;0.82
employee-survey-demo;survey-001;resp-001;2025-08-21;pergunta4;Receber em casa;Conveniência;Entrega Física;Neutro;Manter recebimento físico;O que faria você se sentir seguro(a) e motivado(a) a aderir à fatura digital por e-mail?;0.75
employee-survey-demo;survey-001;resp-002;2025-08-21;pergunta1;Sim;Conhecimento;Fatura Digital;Positivo;Conhece o serviço;Você conhece o nosso serviço de recebimento da fatura por e-mail (fatura digital)?;0.96
employee-survey-demo;survey-001;resp-003;2025-08-21;pergunta1;Não;Desconhecimento;Fatura Digital;Negativo;Não conhece o serviço;Você conhece o nosso serviço de recebimento da fatura por e-mail (fatura digital)?;0.92
employee-survey-demo;survey-001;resp-003;2025-08-21;pergunta2;Comprovante de residência original;Necessidade Documental;Comprovante;Neutro;Precisa do documento físico;Qual o principal motivo para você preferir receber sua fatura impressa em papel e não por e-mail?;0.85
employee-survey-demo;survey-001;resp-003;2025-08-21;pergunta3;Necessidade da via física;Necessidade Documental;Documento Físico;Neutro;Necessita via impressa;Quais os motivos que te impedem de mudar para o recebimento da fatura digital por e-mail?;0.80
employee-survey-demo;survey-001;resp-003;2025-08-21;pergunta4;Benefícios extras;Incentivo;Vantagens;Positivo;Busca benefícios adicionais;O que faria você se sentir seguro(a) e motivado(a) a aderir à fatura digital por e-mail?;0.78
employee-survey-demo;survey-001;resp-004;2025-08-21;pergunta1;Sim;Conhecimento;Fatura Digital;Positivo;Conhece o serviço;Você conhece o nosso serviço de recebimento da fatura por e-mail (fatura digital)?;0.94
employee-survey-demo;survey-001;resp-004;2025-08-21;pergunta2;Preferiria receber a fatura por e-mail;Preferência Digital;Fatura por Email;Positivo;Prefere digital;Qual o principal motivo para você preferir receber sua fatura impressa em papel e não por e-mail?;0.89
employee-survey-demo;survey-001;resp-004;2025-08-21;pergunta3;Desconhecimento em relação à fatura digital;Barreira de Informação;Falta de Informação;Negativo;Falta de conhecimento sobre o serviço;Quais os motivos que te impedem de mudar para o recebimento da fatura digital por e-mail?;0.86
employee-survey-demo;survey-001;resp-004;2025-08-21;pergunta4;Acesso fácil à fatura;Facilidade;Acessibilidade;Positivo;Busca facilidade de acesso;O que faria você se sentir seguro(a) e motivado(a) a aderir à fatura digital por e-mail?;0.83
employee-survey-demo;survey-001;resp-005;2025-08-21;pergunta1;Não;Desconhecimento;Fatura Digital;Negativo;Não conhece o serviço;Você conhece o nosso serviço de recebimento da fatura por e-mail (fatura digital)?;0.93
employee-survey-demo;survey-001;resp-005;2025-08-21;pergunta2;Praticidade;Conveniência;Praticidade do Físico;Neutro;Considera físico prático;Qual o principal motivo para você preferir receber sua fatura impressa em papel e não por e-mail?;0.81
employee-survey-demo;survey-001;resp-005;2025-08-21;pergunta3;Prefiro receber ela fisica;Preferência Pessoal;Preferência Física;Neutro;Prefere físico;Quais os motivos que te impedem de mudar para o recebimento da fatura digital por e-mail?;0.79
employee-survey-demo;survey-001;resp-005;2025-08-21;pergunta4;Alguma bonificação;Incentivo;Benefícios Financeiros;Positivo;Busca incentivos;O que faria você se sentir seguro(a) e motivado(a) a aderir à fatura digital por e-mail?;0.77
